iso3;country;residence_type;service_type;year;uncorrected_coverage;population;service_level;coverage
BOL;Bolivia (Plurinational State of);urban;Drinking water;2020;9.915.325;829.912.220.255;At least basic;0.9915325
BOL;Bolivia (Plurinational State of);urban;Drinking water;2020;0.09054;757.833.734;Limited service;0.0009054
BOL;Bolivia (Plurinational State of);urban;Drinking water;2020;0.251;2.100.884.037;Surface water;0.00251
BOL;Bolivia (Plurinational State of);urban;Drinking water;2020;0.5052;4.228.561.974;Unimproved;0.005052
BOL;Bolivia (Plurinational State of);urban;Drinking water;2021;9.934.065;845.687.766.862;At least basic;0.9934065
BOL;Bolivia (Plurinational State of);urban;Drinking water;2021;0.09071;772.239.163;Limited service;0.0009071
BOL;Bolivia (Plurinational State of);urban;Drinking water;2021;0.23695;2.017.194.528;Surface water;0.0023695
BOL;Bolivia (Plurinational State of);urban;Drinking water;2021;0.33168;2.823.599.447;Unimproved;0.0033168
BOL;Bolivia (Plurinational State of);urban;Drinking water;2022;9.952.805;861.747.421.878;At least basic;0.9952805
BOL;Bolivia (Plurinational State of);urban;Drinking water;2022;0.09088;786.904.025;Limited service;0.0009088
BOL;Bolivia (Plurinational State of);urban;Drinking water;2022;0.22291;1.930.003.337;Surface water;0.0022291
BOL;Bolivia (Plurinational State of);urban;Drinking water;2022;0.15816;1.369.370.761;Unimproved;0.0015816
BRA;Brazil;urban;Drinking water;2000;1.537.901;2.196.051.109.251;Basic service;0.1537901
BRA;Brazil;urban;Drinking water;2000;0.19981;28.532.084.965;Limited service;0.0019981
BRA;Brazil;urban;Drinking water;2000;8.276.303;11.818.179.300.603;Safely managed service;0.8276303
BRA;Brazil;urban;Drinking water;2000;0.33372;47.653.630.265;Surface water;0.0033372
BRA;Brazil;urban;Drinking water;2000;132.443;18.912.301.177;Unimproved;0.0132443
BRA;Brazil;urban;Drinking water;2001;1.539.115;223.690.586.832;Basic service;0.1539115
BRA;Brazil;urban;Drinking water;2001;0.19997;29.062.887.196;Limited service;0.0019997
BRA;Brazil;urban;Drinking water;2001;8.282.839;12.038.041.113.838;Safely managed service;0.8282839
BRA;Brazil;urban;Drinking water;2001;0.33372;48.501.860.219;Surface water;0.0033372
BRA;Brazil;urban;Drinking water;2001;124.677;181.201.898.264;Unimproved;0.0124677
BRA;Brazil;urban;Drinking water;2002;154.033;2.276.211.415.255;Basic service;0.154033
BRA;Brazil;urban;Drinking water;2002;0.20013;29.573.563.156;Limited service;0.0020013
BRA;Brazil;urban;Drinking water;2002;8.289.375;12.249.566.491.862;Safely managed service;0.8289375
BRA;Brazil;urban;Drinking water;2002;0.31958;47.224.983.094;Surface water;0.0031958
BRA;Brazil;urban;Drinking water;2002;118.325;174.853.927.659;Unimproved;0.0118325
BRA;Brazil;urban;Drinking water;2003;1.541.544;2.314.270.165.002;Basic service;0.1541544
BRA;Brazil;urban;Drinking water;2003;0.20028;30.068.040.185;Limited service;0.0020028
BRA;Brazil;urban;Drinking water;2003;8.295.911;12.454.382.165.251;Safely managed service;0.8295911
BRA;Brazil;urban;Drinking water;2003;0.30543;4.585.328.438;Surface water;0.0030543
BRA;Brazil;urban;Drinking water;2003;111.973;168.101.477.876;Unimproved;0.0111973
BRA;Brazil;urban;Drinking water;2004;1.542.759;2.351.696.279.613;Basic service;0.1542759
BRA;Brazil;urban;Drinking water;2004;0.20044;30.554.295.865;Limited service;0.0020044
BRA;Brazil;urban;Drinking water;2004;8.302.447;1.265.579.250.081;Safely managed service;0.8302447
BRA;Brazil;urban;Drinking water;2004;0.29129;44.402.010.502;Surface water;0.0029129
BRA;Brazil;urban;Drinking water;2004;105.621;161.002.941.473;Unimproved;0.0105621
BRA;Brazil;urban;Drinking water;2005;1.543.973;2.389.016.003.492;Basic service;0.1543973
BRA;Brazil;urban;Drinking water;2005;0.2006;31.039.171.148;Limited service;0.002006
BRA;Brazil;urban;Drinking water;2005;8.308.983;1.285.663.106.678;Safely managed service;0.8308983
BRA;Brazil;urban;Drinking water;2005;0.27714;4.288.253.955;Surface water;0.0027714
BRA;Brazil;urban;Drinking water;2005;0.99269;153.600.798.216;Unimproved;0.0099269
BRA;Brazil;urban;Drinking water;2006;1.545.188;2.425.808.558.504;Basic service;0.1545188
BRA;Brazil;urban;Drinking water;2006;0.20076;31.517.197.234;Limited service;0.0020076
BRA;Brazil;urban;Drinking water;2006;831.552;13.054.632.650.127;Safely managed service;0.831552
BRA;Brazil;urban;Drinking water;2006;0.263;41.288.159.868;Surface water;0.00263
BRA;Brazil;urban;Drinking water;2006;0.92917;145.871.762.921;Unimproved;0.0092917
BRA;Brazil;urban;Drinking water;2007;1.546.402;2.461.897.792.828;Basic service;0.1546402
BRA;Brazil;urban;Drinking water;2007;0.20092;31.986.083.507;Limited service;0.0020092
BRA;Brazil;urban;Drinking water;2007;8.322.056;13.248.848.462.095;Safely managed service;0.8322056
BRA;Brazil;urban;Drinking water;2007;0.24885;39.617.657.385;Surface water;0.0024885
BRA;Brazil;urban;Drinking water;2007;0.86565;137.813.232.727;Unimproved;0.0086565
BRA;Brazil;urban;Drinking water;2008;1.547.617;2.497.252.151.469;Basic service;0.1547617
BRA;Brazil;urban;Drinking water;2008;0.20107;32.445.423.908;Limited service;0.0020107
BRA;Brazil;urban;Drinking water;2008;8.328.592;13.439.110.310.387;Safely managed service;0.8328592
BRA;Brazil;urban;Drinking water;2008;0.23471;3.787.266.617;Surface water;0.0023471
BRA;Brazil;urban;Drinking water;2008;0.80213;12.943.302.537;Unimproved;0.0080213
BRA;Brazil;urban;Drinking water;2009;1.548.831;2.532.034.475.837;Basic service;0.1548831
BRA;Brazil;urban;Drinking water;2009;0.20123;32.897.332.201;Limited service;0.0020123
BRA;Brazil;urban;Drinking water;2009;8.335.128;1.362.629.372.974;Safely managed service;0.8335128
BRA;Brazil;urban;Drinking water;2009;0.22056;36.057.691.232;Surface water;0.0022056
BRA;Brazil;urban;Drinking water;2009;0.73861;120.748.695.694;Unimproved;0.0073861
BRA;Brazil;urban;Drinking water;2010;1.550.046;2.566.794.279.094;Basic service;0.1550046
BRA;Brazil;urban;Drinking water;2010;0.20139;33.348.945.854;Limited service;0.0020139
BRA;Brazil;urban;Drinking water;2010;8.341.664;138.133.551.078;Safely managed service;0.8341664
BRA;Brazil;urban;Drinking water;2010;0.20642;3.418.177.878;Surface water;0.0020642
BRA;Brazil;urban;Drinking water;2010;0.67509;111.791.917.147;Unimproved;0.0067509
BRA;Brazil;urban;Drinking water;2011;155.126;2.601.870.364.788;Basic service;0.155126
BRA;Brazil;urban;Drinking water;2011;0.20155;33.804.670.835;Limited service;0.0020155
BRA;Brazil;urban;Drinking water;2011;83.482;14.002.119.424.826;Safely managed service;0.83482
BRA;Brazil;urban;Drinking water;2011;0.19227;32.249.337.228;Surface water;0.0019227
BRA;Brazil;urban;Drinking water;2011;0.61157;102.576.977.706;Unimproved;0.0061157
BRA;Brazil;urban;Drinking water;2012;1.552.475;263.652.279.457;Basic service;0.1552475
BRA;Brazil;urban;Drinking water;2012;0.2017;34.254.891.505;Limited service;0.002017
BRA;Brazil;urban;Drinking water;2012;8.354.736;14.188.603.819.761;Safely managed service;0.8354736
BRA;Brazil;urban;Drinking water;2012;0.17813;30.251.142.572;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2012;0.54805;93.074.472.333;Unimproved;0.0054805
BRA;Brazil;urban;Drinking water;2013;1.505.443;2.587.631.447.963;Basic service;0.1505443
BRA;Brazil;urban;Drinking water;2013;0.20186;34.697.129.031;Limited service;0.0020186
BRA;Brazil;urban;Drinking water;2013;8.409.519;14.454.710.977.465;Safely managed service;0.8409519
BRA;Brazil;urban;Drinking water;2013;0.17813;30.617.737.949;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2013;0.47039;80.853.075.929;Unimproved;0.0047039
BRA;Brazil;urban;Drinking water;2014;1.458.335;2.536.652.467.078;Basic service;0.1458335
BRA;Brazil;urban;Drinking water;2014;0.20202;3.513.973.162;Limited service;0.0020202
BRA;Brazil;urban;Drinking water;2014;8.464.378;14.723.085.070.877;Safely managed service;0.8464378
BRA;Brazil;urban;Drinking water;2014;0.17813;3.098.408.252;Surface water;0.0017813
